id,name,year,family,inputs,architecture,action_representation,training,data,inference,contribution,limitations,openness,source_ids
pi05,pi0.5 / knowledge insulation,2025,hierarchical flow VLA,"Images, task/subtask text and robot state",PaliGemma VLM plus continuous action expert and token objectives,Language subtasks; discrete auxiliary actions; continuous motor chunks,Heterogeneous co-training; KI blocks expert gradients while token/VLM objectives train backbone,"Multirobot trajectories, semantic/subtask annotations and nonrobot VLM data",High-level subtask prediction conditions faster low-level action generation,Improve open-environment generalization while preserving semantic features,KI is not simply freezing the VLM; original paper and open implementation differ in supported heads,openpi code and pi0.5 flow checkpoints available,S021; S022; S020
pi06,pi0.6,2025,hierarchical flow VLA,"Images, robot state, text and heterogeneous prompt metadata",Gemma 3 4B backbone plus about 860M action expert,Discrete outputs and continuous action chunks,Supervised VLA training with revised architecture and data,Expanded heterogeneous robot training data; full corpus undisclosed,Predict subtasks and conditional motor chunks,Refinement of pi0.5 and starting point for real-world RL,Architecture change is distinct from RECAP improvement; do not call the base model RL-trained,Model card available; inspected openpi does not list this checkpoint,S023; S024
pi06-recap,pi-star-0.6 / RECAP,2025,reinforcement post-training,pi0.6 observations with desired advantage condition,pi0.6 policy plus learned value function during training,Advantage-conditioned continuous robot actions,"Offline RL, demonstrations, corrective takeovers and autonomous reward-labeled rollouts",Generalist data and task-specific on-robot experience,Condition on high advantage at execution; value learning improves next policy iteration,Improve both successful completions per hour and reliability,Reward and intervention infrastructure is task-specific; results do not establish unconstrained autonomous self-improvement,Paper and model details; complete RL pipeline/data not publicly reproducible,S024; S025
mem,MEM / pi0.6-MEM,2026,memory-augmented VLA,"Video history, language memory, current observations and state",Compressed short-term visual encoder plus long-term textual state,Subtasks and continuous action chunks from augmented VLA,Train with robot/nonrobot images and video plus task history,Diverse robot and nonrobot corpus; evaluated memory-dependent tasks,Update memory and condition subsequent decisions on prior attempts,Address partial observability and repeated failed strategies,Task memory is not lifelong retention; summaries can lose or corrupt state,Research page/paper; no complete public checkpoint confirmed,S028
pi07,pi0.7,2026,steerable generalist VLA,"Current/history observations, task/subtask, quality/speed metadata, optional visual subgoals",pi0.6 architecture plus MEM; Gemma 3 4B and 860M flow expert,Continuous actions conditioned on varied multimodal prompts,Conditioned learning from diverse-quality data; absorb RL specialist experience,"Multirobot, human and autonomous data; exact mixture not fully released",High-level policy and optional BAGEL-based world model generate subgoals; VLA acts and updates memory,Compositional skill reuse through better conditioning rather than a wholly new backbone,Some tasks require language coaching or adapted high-level policy; broad generality remains author-evaluated,Technical report; inspected openpi does not list public pi0.7 weights,S026; S027; S020
smolvla,SmolVLA,2025,compact flow VLA,"Images, language and projected robot state",Truncated SmolVLM2 with approximately 100M action expert; 450M total,Continuous action chunks,Freeze VLM and learn flow-matching expert,LeRobot community demonstrations and target fine-tuning,Iterative flow generation; synchronous and asynchronous scheduling evaluated separately,Lower model footprint and accessible robot-policy experimentation,Community/task coverage and execution schedule affect results; no universal real-time frequency,"Open code, checkpoints and community datasets",S029; S030
groot-n1,GR00T N1,2025,generalist humanoid VLA,"Images, language and embodiment-specific state",Eagle VLM features cross-attended by flow DiT; embodiment MLPs,"Continuous chunks, with robot and learned latent action targets","Flow matching across real, simulated, neural-generated and human data","Multirobot demonstrations, simulation, human videos",Action expert samples chunks; hardware controller tracks commands,Connect semantic perception to multiple embodiments and synthetic-data pipelines,System 2 naming does not prove explicit planning; transfer still needs target post-training,Open weights/code with release-specific terms,S031
groot-n15,GR00T N1.5,2025,generalist humanoid VLA,"Images, text, state and noised actions",Frozen Eagle 2.5-derived VLM and DiT,Continuous flow actions with future-feature auxiliary target,Flow loss plus FLARE latent future alignment,N1 mixture expanded with DreamGen and other robot sources,Cross-attended chunk generation and target adaptation,Stronger language grounding; learn useful future representation from videos,"New verbs supplied through synthetic trajectories are trained skills, not unrestricted zero-shot transfer",Versioned code and model cards available,S032; S035
groot-n16,GR00T N1.6,2025,generalist humanoid VLA,"Flexible-resolution images, language and robot state",Cosmos-2B internal VLM variant; 32-layer DiT; top VLM layers unfrozen,Mostly state-relative action chunks,Mixed pretraining and regularized target post-training,"Additional YAM, AgiBot, BEHAVIOR and Unitree G1 data",Chunk generation with optional real-time chunking,Expanded embodiments and improved motion modeling,Relative actions can accumulate errors; language/OOD generalization remains explicitly unresolved,Code and model-card releases available,S033; S035
groot-n17,GR00T N1.7,2026,generalist humanoid VLA,"Images, instruction and robot state",Cosmos-Reason2-2B / Qwen3-VL backbone plus action DiT; 3B checkpoint,Continuous robot action chunks,Generalist pretraining and robot-specific post-training,Vendor reports around 32k hours real/human and 8k simulated data,ONNX/TensorRT export and robot runtime support,Stronger backbone and end-to-end deployment tooling,Availability is not field reliability; earlier FAQ and newer GA repository differ,"Official repository labels N1.7 GA. License section: code Apache 2.0; model weights NVIDIA Open Model License. The README also contains a broader Apache 2.0 commercialization statement; do not conflate code and weight terms, and check the specific checkpoint.",S034; S035
gemini-robotics1,Gemini Robotics / ER,2025,proprietary VLA and reasoning pair,"VLA: images, instructions and robot state; ER: multimodal context",Gemini-based action model alongside separate embodied reasoning VLM,"VLA motor commands; ER plans, spatial outputs and tool calls",Robot adaptation of multimodal pretrained models; full recipe undisclosed,Web multimodal and robot data,ER can plan; VLA repeatedly grounds observations into movement,Clear separation between physical reasoning and executable control,ER alone is not a motor policy; complete model/data access limited,Research report and partner access; no open full VLA weights,S036; S037
gemini-robotics15,Gemini Robotics 1.5 / ER 1.5,2025,thinking VLA and orchestration,"Multirobot visual/state observations, instructions and tool context",Multi-embodiment VLA with Motion Transfer; separate ER orchestration,Motor actions interleaved with language reasoning; ER task plans,Cross-embodiment training and thinking behavior; exact full recipe undisclosed,"ALOHA, bimanual Franka, Apollo and web text/image/video",ER calls tools and dispatches subtasks; VLA reasons and acts with feedback,Motion transfer and agentic multi-step behavior,Some long-horizon Franka results include additional post-training; reasoning text is not a safety proof,ER API availability; VLA restricted to partners at release,S038; S039
gemini-er16,Gemini Robotics-ER 1.6,2026,embodied reasoning VLM,"Text, images, audio and video",Gemini 3.0 Flash-derived reasoning model,"Text/spatial representations and function calls, not direct torques",Gemini training plus embodied reasoning data; exact objective undisclosed,General multimodal and specialized embodied reasoning datasets,"Infer geometry/progress, invoke tools or downstream policies","Better instrument reading, pointing and multiview success estimation",Success-detector mistakes propagate; single/multiview benchmark examples differ,API/model card; closed weights,S040; S041
gemini-robotics2,Gemini Robotics 2,2026,whole-body VLA,"Visual observations, language and robot state",Next-generation multi-embodiment Gemini VLA; internal details undisclosed,Whole-body and dexterous motor commands,Robot foundation-model training; full losses and corpus not disclosed,Vendor robot experiments across Apollo and bimanual platforms,Execute whole-body tasks under observation feedback and ER coordination,Extend control from upper-body manipulation to whole-body tasks,Author reports remaining speed and multifinger failures; no public full training recipe,Early-access partner VLA,S042
gemini-er2,Gemini Robotics ER 2,2026,embodied reasoning VLM,Multimodal scene and task context,Gemini 3.5 Flash-derived embodied reasoning model,"Plans, text, coordination and tool calls",Gemini 3.5 data plus specialized embodied reasoning data,Undisclosed complete corpus,Orchestrate robot activities and coordinate multiple robots,Agentic coordination complements whole-body VLA,Reasoning benchmark gains do not establish motor reliability,AI Studio access; enterprise private preview stated at launch,S042; S043
gemini-ondevice2,Gemini Robotics On-Device 2,2026,local VLA,"Images, instruction and numerical proprioception",Robotics 1.5 technology combined with on-device Gemma,Numerical robot action outputs,Robot sensor/action and multimodal training; detailed losses undisclosed,Proprietary training corpus; adaptation data for new embodiment,Run local inference and act under sensor feedback,Local deployment and faster new-embodiment adaptation,"On-device does not mean open weights; adaptation hours are data requirements, not a universal deployment guarantee",Early-access partner model,S042; S044
rdt1b,RDT-1B,2024,bimanual diffusion foundation policy,"Language, multiview images, state and control frequency",Scalable 1.2B robotics diffusion transformer,Physically interpretable unified continuous action space,Denoising pretraining followed by bimanual fine-tuning,Large multirobot collection and over 6k bimanual episodes,Denoise action chunks and execute with feedback,Explicit action semantics support heterogeneous robot transfer,"Unified slots still require correct units, masks and robot-specific mapping; iterative sampling costs",Code and weights available,S045; S046
univla-odl,UniVLA (OpenDriveLab),2025,latent-action VLA,Video frame pairs and task language for learning; observation and language for policy,Task-conditioned VQ-VAE in DINO feature space; VLA plus lightweight action decoder,Embodiment-agnostic latent action tokens decoded to physical controls,"Latent-action learning, policy pretraining and robot decoder adaptation",Cross-embodiment OpenX and human Ego4D videos,"Predict latent action, decode for target robot, re-observe",Use videos lacking robot action labels while suppressing task-irrelevant motion,Latent action abstraction may omit contact/control detail; decoder still needs real robot supervision,Code and checkpoints public,S047; S048
univla-baai,UniVLA (BAAI),2025,unified multimodal generative VLA,"Image/video, language and action sequences",Emu3-based autoregressive multimodal model,"Discrete visual, language and action tokens",World-model post-training and downstream policy learning,Video and robot benchmark data,Generate action tokens using learned temporal representations,Unify visual prediction and action learning in one token framework,Distinct from OpenDriveLab UniVLA; inference budgets and benchmark variants matter,"Code, models and training paths available",S049; S050
xvla,X-VLA,2025,soft-prompt flow VLA,"Fixed and wrist images, language, state, dataset/embodiment identity","Florence-Large vision-language stream, separate auxiliary vision, soft-prompted transformer",Continuous action chunks with domain input/output projections,Flow matching with embodiment-specific soft prompts and balanced heterogeneous data,Multiple robot datasets and simulation/real adaptation settings,Condition action generation on target prompt and robot interface,Separate shared skills from embodiment-specific conditioning efficiently,Soft prompts require valid domain identity/adaptation; not automatic support for arbitrary hardware,Code and checkpoints linked from project,S051; S052
lingbot-vla2,LingBot-VLA 2.0,2026,MoE and predictive VLA,"Images, text, canonical robot state","Qwen3-VL-based model, sparse MoE action expert and semantic/depth future distillation",55-dimensional canonical state/action including four reserved slots,Action learning plus dual-query future-feature/depth supervision; action-loss choices ablated,60k curated hours: 50k robot from 20 configurations and 10k human ego,Predict physical actions with target embodiment mapping and feedback,"Combine scaling, wider body action coverage and predictive priors",Nine GM-100 tasks are not the whole benchmark; OOD full-task success remains low in some tests,6B native-depth checkpoint and code released,S053; S054
rtc,Real-Time Chunking (RTC),2025,execution and conditioning method,Current observations plus already committed action prefix,Inpainting/conditioning procedure around an existing flow policy,Continuous chunks with a fixed prefix,Original approach can operate without retraining the backbone,Existing pretrained policy; evaluate delayed/asynchronous execution,Compute next chunk while executing current actions; preserve prefix continuity,Reduce pauses and discontinuities from delayed large-model inference,Requires latency budgeting; not a fix for incorrect goals or unobserved collisions,Research algorithm; integrations available in robot stacks,S055
saycan,SayCan,2022,hierarchical_planning,instruction; skill history; state affordances,Language relevance multiplied by learned skill feasibility.,Named skills,Pretrained LLM plus skill policy/value learning.,Language pretraining and robot skill experience.,"Select skill, execute, repeat.",Connects semantic intent to executable abilities.,Fixed skills; incomplete failure feedback.,Tabletop simulation code and instruction dataset.,S056
palme,PaLM-E,2023,embodied_reasoning,images; continuous state; language,Continuous sensor embeddings inserted into decoder language model.,Textual low-level subgoals,Joint multimodal and embodied task learning.,Internet multimodal and robot data.,Generate plan; execute through separate policies; add feedback.,Direct sensor-conditioned language reasoning.,Large compute; low-level execution remains separate.,Paper/project; full public weights not verified.,S057
embodiedgpt,EmbodiedGPT,2023,hierarchical_planning,video; instruction,Prefix-tuned 7B language model plus planning-query features.,Subgoals and action-relevant features,EgoCOT adaptation and downstream control training.,Ego4D-derived EgoCOT; benchmark control data.,Plan and extract features for controller.,Learned high-/low-level interface.,Benchmark-specific transfer.,Paper; release completeness not audited.,S059
vima,VIMA,2023,multimodal_policy,text/image prompts; object observations; history,T5 prompt encoder; cross-attention causal decoder.,Tabletop manipulation primitives,Behavior cloning.,600K+ VIMA expert trajectories.,Autoregressively choose actions and observe outcomes.,Unified visual/text task interface.,Procedural simulation and object-token assumptions.,"Code, weights, benchmark and dataset linked.",S058
voxposer,VoxPoser,2023,geometric_planning,RGB-D; instruction,LLM-generated programs compose VLM-grounded 3D value maps.,6-DoF end-effector waypoints,Pretrained components; optional online dynamics.,Pretrained foundation data; manipulation evaluation.,Recompute maps and plan trajectories with feedback.,Inspectable geometric objectives.,Perception/calibration/planner assumptions.,Project provides code and prompts.,S060
r3m,R3M,2022,visual_representation,RGB frames,Visual encoder with temporal and language-alignment objectives.,None; downstream controller required,Contrastive and compactness pretraining.,Ego4D human videos.,Encode observations for learned policy.,Data-efficient reusable perception.,No direct actions or transition model.,Paper links code and pretrained models.,S061
vc1,VC-1,2023,visual_representation,RGB images,MAE-pretrained vision transformer.,None; downstream controller required,Visual pretraining plus optional adaptation.,Egocentric video sources and ImageNet.,Encode sensor input for downstream policy.,Broad sensorimotor representation evaluation.,Adaptation and task protocol determine transfer.,Models/code described as released.,S062
peract,PerAct,2022,geometric_policy,RGB-D; language,Perceiver over voxel and language tokens.,"Discrete 3D location, orientation, gripper",Behavior cloning with keypose supervision.,RLBench and real demonstrations.,Predict keypose; planner executes.,Shared geometric observation/action space.,Voxel cost and RGB-D calibration.,"Official code, tutorial and checkpoints.",S063
rvt,RVT,2023,geometric_policy,RGB-D-derived scene; language,Virtual-view rendering and cross-view transformer.,Gripper keypose,Behavior cloning.,RLBench and real demonstrations.,"Fuse views, predict pose, execute.",Efficient spatial policy computation.,View construction and protocol dependence.,Official project links code and trained model.,S064
3d-diffuser-actor,3D Diffuser Actor,2024,geometric_diffusion_policy,RGB-D; language; robot state,3D relative attention conditions pose denoising.,"End-effector translations, rotations, gripper",Conditional action diffusion.,"RLBench, CALVIN, real demonstrations.",Denoise action; execute with task controller/planner.,Unifies 3D geometry and multimodal actions.,Quaternion and benchmark conventions matter.,"Code, weights and data links.",S065; S066
dreamerv3,DreamerV3,2023,latent_model_based_rl,observations; actions; rewards,Recurrent latent dynamics and actor-critic.,Environment-dependent controls,World-model learning and imagined RL.,Online environment interaction.,"Infer state, act; update model and policy.",Robust cross-domain algorithm configuration.,"Exploration, rewards and model error; not universal weights.",Official algorithm code; paper/author project.,S067; S068
unisim,UniSim,2023,video_world_model,observation history; language or numeric action,Conditional video diffusion trained across data domains.,Input action conditions future video,Heterogeneous generative modeling.,"Images, videos, robot and navigation data.",Simulate transitions for planner/policy learning.,Generated interaction as training experience.,Task-bounded transfer and model exploitation.,Paper/project; full reproduction not verified.,S069; S070
genie1,Genie,2024,interactive_world_model,initial image; latent action; history,"Video tokenizer, latent action model and autoregressive dynamics.",Learned latent actions,Unsupervised action-label-free video learning.,Internet video.,User action selects generated next frame.,Controllability from unlabeled video.,Latent controls not calibrated motor actions.,Research paper; open full checkpoint not verified.,S071
genie2,Genie 2,2024,interactive_world_model,initial image; user actions; history,Autoregressive latent diffusion with causal dynamics.,Interactive environment commands,Large-scale video training.,Video corpus; full composition undisclosed.,Generate next frame conditioned on actions.,Interactive 3D environment diversity.,Consistency and physical validity remain limited.,Official research demonstration.,S072
genie3,Genie 3,2025,interactive_world_model,prompt; interactive actions,Detailed architecture not disclosed in checked source.,Limited direct actions; promptable world events,Training details not fully disclosed.,Undisclosed full corpus.,Real-time interactive world generation.,Higher resolution and longer coherent interaction.,"Minutes-long horizon, action and multi-agent limits.",Official model page and gated Project Genie prototype.,S073; S074
gr1,GR-1,2023,video_action_policy,language; image history; robot states,GPT-style joint image/action sequence model.,Robot motor actions,Video pretraining then robot adaptation.,Large video data; CALVIN and real robot trajectories.,Predict actions and future images; execute actions.,Video generative priors for manipulation.,Joint prediction not equivalent to explicit planning.,Project/paper; release completeness not audited.,S075; S076
gr2,GR-2,2024,video_action_policy,language; images; robot states,Scaled generative video-language-action model.,Robot actions,Video pretraining then joint video/action fine-tuning.,"38M video clips, 50B+ tokens; robot trajectories.",Generate robot actions with visual predictions.,Scales temporal pretraining for policy generalization.,97.7% is the 105-task Simple setting; unseen manipulations remain substantially harder.,Paper; complete public reproduction not verified.,S077; S091
vjepa2,V-JEPA 2,2025,predictive_visual_representation,video patches,Encoder/predictor with masked latent targets.,None without action-conditioned adaptation,Self-supervised latent prediction.,Large unlabeled video corpus.,Encode and predict latent visual structure.,Video understanding without pixel reconstruction.,Base model is not a direct controller.,Code and model family released.,S078; S079; S081
vjepa2-ac,V-JEPA 2-AC,2025,latent_world_model,RGB; robot state/actions; goal image,Action-conditioned predictor on pretrained latent encoder.,Candidate robot action sequences,Post-train dynamics with robot video/action records.,Less than 62 hours of DROID.,Optimize image-goal latent distance with MPC.,Deployment transfer without environment-specific collection.,Action data used; small task collection and planning latency.,Official code/checkpoint and planning components.,S078; S079; S081
vjepa21,V-JEPA 2.1,2026,predictive_visual_representation,images/video; actions for adapted planner,Dense/deep predictive supervision; image/video tokenizers.,Via 2-AC-style planner,Dense latent pretraining; action-conditioned adaptation.,Scaled image/video corpus; DROID robot data.,Improved features support goal-directed MPC.,Better spatially structured temporal representations.,Grasp gain depends on planning budget; ten tasks per skill.,80M/300M/1B/2B models and code released.,S080; S081
cosmos-predict25,Cosmos Predict 2.5,2025,video_world_model,text; images; video,Video generative foundation model.,No direct control by default,Generative world-model pretraining/adaptation.,Physical-world video data; full corpus not audited.,Generate conditional future video.,Unified text/image/video-to-world interface.,Visual generation alone does not establish robot control.,NIM deployment and available model artifacts.,S082
cosmos-policy,Cosmos Policy,2026,joint_policy_world_value,multiview images; proprioception; language,Predict2-2B with action/state/value encoded as latent frames.,Continuous action chunks,Single-stage target-platform post-training.,Robot demonstrations; optional policy rollout data.,Direct policy or best-of-N imagined planning.,"Video priors become policy, dynamics and value.",Search adds compute; training is platform-specific.,"Official code, checkpoints and data links.",S083; S090
cosmos3,Cosmos 3,2026,unified_reasoning_world_action,text; image/video; actions,"Autoregressive reasoner plus diffusion generator, Mixture-of-Transformers.",Embodiment-specific action outputs,Multimodal training and domain post-training.,Physical AI mixtures; specific DROID checkpoints.,Reason independently or generate futures/actions.,"Unifies world understanding, prediction and action.",Mode/hardware limits; Edge lacks video-to-video transfer.,Super64B/Nano16B/Edge4B; current OpenMDW-1.1.,S084; S085
gaia2,GAIA-2,2025,driving_world_model,multicamera history; ego action; structured conditions,Latent multiview generative dynamics.,Ego driving conditions,Controlled video generation.,Driving sensor/video data.,Simulate action-conditioned driving futures.,Controlled multi-camera synthetic driving scenes.,Driving-specific; not manipulation policy.,Paper/official media; open weights not verified.,S086
gaia3,GAIA-3,2025,driving_world_model,driving scenes; conditions,Detailed architecture not established in checked release.,Driving scenario conditions,Generative modeling; full recipe undisclosed.,Driving data.,Generate scenarios for evaluation/validation.,Moves world-model emphasis toward evaluation.,"Official report, not independent safety proof.",Official release; no open weights verified.,S087
gaia4,GAIA-4,2026,closed_loop_driving_simulator,recorded sensors; AI Driver actions,Learned multimodal simulator; architecture incompletely disclosed.,Ego controls; optional reactive-agent behavior,World-on-rails and reactive generation training.,Driving sensor logs; full recipe undisclosed.,Actions alter next camera/radar inputs.,Behavioral counterfactual evaluation in a sensor loop.,Simulation assumptions and fidelity bound validation.,Official technical account; no full open reproduction verified.,S088
cosmos-predict2,Cosmos Predict2-2B,2025,video_world_model,initial image; text,Latent video diffusion model used as Cosmos Policy initialization.,No robot controls in the base model.,Video generative pretraining.,Video pretraining data; complete corpus not audited.,Generate conditional future frames.,Reusable temporal priors for subsequent policy adaptation.,Base video generation is not calibrated robot control.,Base checkpoint identified by Cosmos Policy paper and code.,S083; S090
H-M01,DeepMimic,2018,reference-motion RL,"Body state, phase and task goal.",Motion-conditioned policy and value network.,Joint targets tracked by motor controllers.,"PPO with imitation and task rewards, reference-state initialization.",Motion-capture/keyframed clips plus simulated rollouts.,Observe body; predict target; physics/motor feedback repeats.,Makes human motion a useful prior rather than a playback command.,Original evidence is simulated animation; task coverage and transfer require additional work.,Original code linked from project.,S092
H-M02,AMP / ASE,2021,adversarial motion priors and latent motor skills,AMP: body and task state. ASE adds latent skill z.,Discriminator motion prior; ASE adds skill-conditioned policy and encoder objective.,Joint-level motor targets; high-level ASE policy selects z.,Adversarial imitation + RL; ASE additionally rewards informative skill latents.,Unstructured motion collections and simulated interactions.,Task or latent selection feeds reactive motor policy.,AMP learns style from distributions; ASE makes that repertoire steerable and reusable.,Style realism is not task correctness; changing latent too abruptly can destabilize motion; simulated evaluation.,Code available; motion-data licenses separate.,S093; S094
H-M03,PHC,2023,scalable tracking and recovery,Simulated body state and target reference motion.,Progressive multiplicative control policy (PMCP) with capacity allocated to hard sequences and recovery.,Motor targets for physically simulated humanoid.,RL tracking; progressive skill learning and fail-state recovery.,"Large human motion databases, noisy reference poses and simulation.","Track, recover from failure, resume without resetting environment.",Treats recovery as part of control rather than an external reset.,Avatar result; physical actuator and sensor transfer not established by original paper.,Official implementation available.,S095; S096
H-M04,Humanoid Transformer,2023,history-conditioned locomotion RL,Causal history of proprioceptive observations/actions and walking commands.,Autoregressive causal transformer controller.,Future motor actions / desired joint commands.,Large-scale model-free RL in randomized simulation.,Simulation across terrain/dynamics; real-robot evaluation.,Rolling history alters behavior without weight updates.,Uses temporal context for implicit dynamics adaptation.,"Does not solve semantic planning, object manipulation or arbitrarily strong disturbances.",Paper/project available; complete release scope not verified.,S097
H-M05,H2O / OmniH2O,2024,sim-to-real teleoperation and control interface,"Human pose from RGB/VR, sparse motion goals, robot proprioception.",H2O privileged feasibility filter; OmniH2O privileged RL teacher distilled to deployable student.,Kinematic pose goals into whole-body tracking motor actions.,"Retargeting, feasibility filtering, RL/domain randomization; student supervised distillation.",Human motion corpus; OmniH2O-6 robot demonstrations for learned upper-layer skills.,Human or autonomous policy produces pose targets; student stabilizes robot continuously.,Universal pose interface separates goal generation from physical execution.,Teleoperation is not autonomous task competence; sparse goals and retargeting lose information.,Project links code and OmniH2O data.,S098; S099
H-M06,HumanPlus,2024,human-data to autonomous whole-body skills,Low level: body/hand reference and state. High level: egocentric vision.,RL shadowing controller plus supervised visual skill policy.,Whole-body and hand targets for a 33-DoF humanoid.,Human-motion RL pretraining; shadowing collects robot data; behavior cloning learns autonomy.,40-hour human-motion data; up to 40 task demonstrations in reported experiments.,Visual policy proposes commands; low-level controller executes with body feedback.,Closes the data-collection loop from humans to real robot learning.,Limited task/robot distribution; human imitation cannot directly infer all contact dynamics.,"Code, datasets and hardware references linked.",S100
H-M07,MaskedMimic,2024,partial-motion-conditioned generative control,"Partial future joints, trajectory, scene and/or text conditions.",Fully constrained tracking teacher; conditional-VAE partial-goal policy via motion inpainting.,Physical-controller actions conditioned on sampled latent motion.,RL tracking followed by learning a partially constrained policy with randomized masks.,Motion data and simulated physical interaction.,"Infer missing movement consistent with constraints, act, observe and repeat.",Unifies control modalities by representing them as missing motion information.,Mostly simulated character evidence; ambiguous constraints and real hardware transfer remain gaps.,Official NVIDIA project links code.,S101
H-M08,SONIC / GEAR-SONIC,2025,scalable behavioral foundation controller,"Proprioception plus robot, human or hybrid reference motion.",Specialized encoders -> FSQ universal token -> shared control decoder; auxiliary motion decoder.,Desired joint positions -> PD controllers; released policy runs at 50 Hz.,PPO tracking + reconstruction; domain randomization; runtime kinematic planner.,Original paper: 700-hour motion collection; current release also offers separate public data.,VLA/VR/planner produces motion command; token policy and PD loop execute.,Explicit bridge between VLA semantic actions and low-level motor control; released variants improve deployment.,One-task VLA PoC is not broad autonomy; lookahead differs from latency; proprietary original corpus; preprint compute inconsistency omitted.,Training/deployment code and checkpoints released; code/weights have different licenses.,S102; S103; S123
H-M09,ViNT,2023,visual navigation foundation policy,Recent RGB observations and visual goal token.,Visual encoders and transformer; replaceable goal representation.,Normalized local waypoint trajectory and distance-to-goal estimate.,Goal-reaching supervised learning on diverse trajectories.,Hundreds of hours from multiple navigation platforms.,Topological/global planner selects subgoal; local policy proposes waypoints; robot controller follows.,Reusable navigation affordances and adaptable task tokens.,Long range depends on planner and mapping; not a semantic manipulator or balance controller.,Official code/checkpoints and deployment examples.,S104; S105
